2842959	8070
2946768	7208
3033439	335547
3011485	414990
2874666	6518
2874666	6606
2779525	4087
2779525	4089
2666967	2125
2666967	2132
3040212	421577
3111830	15906
3111830	21020
3111830	311260
3111830	373636
2839361	9320
2839361	347912
2803950	4034
2803950	9141
2718526	21129
2845970	373317
2826223	9597
2826223	13101
2651233	5467
2759816	2090
2759816	2096
2839326	10014
2839326	11330
2996138	18482
2771117	6887
2831548	5289
2831548	186312
2799974	4064
2799974	4066
2682059	5475
2943576	303766
2943576	372008
2789366	9281
2789366	9318
2685076	33681
2773782	5224
2784900	11603
2718808	257341
2807687	6498
2807687	6548
3019290	2236
3019290	419960
2810072	4021
2810072	4091
2794827	4056
2794827	4059
2759910	2094
2759910	2099
3033444	420844
3034650	388778
2605511	5958
2975426	5345
2922903	388157
2777310	7829
2953307	550
2953307	1099
2888984	9549
2888984	14391
2815007	5454
2666929	2122
2666929	2123
2572586	30885
2682335	5156
2880472	32255
2519083	5154
2769448	9357
2769448	9358
2759603	2091
2759603	2095
2759285	2092
2759285	2104
2760131	2100
2760131	2108
2535192	5194
2535192	354179
2929464	5963
2688565	8079
2922879	388148
2929318	16655
2615758	379319
2963498	1996
2963498	4502
2963498	139270
3064789	149685
2998374	355128
2921774	6895
2686260	259673
2797550	57178
3066951	6878
2975206	8420
2926444	268398
3111781	388723
2562919	106457
2562919	347435
2758758	277108
2758758	292244
2519807	8079
2519807	8097
2538427	56699
2538427	350926
2953846	6737
2850376	891
2850376	322857
2873810	6568
2873810	6586
2824022	4065
2824022	4071
2754464	5194
2916797	18509
2556113	18509
2556113	318866
2655408	16651
2655408	27594
2960117	1632
2960117	305063
2926474	388798
2619714	42229
2759495	2093
2759495	2102
2799910	4007
2799910	4008
2803831	4040
2803831	4043
2758930	2110
2758930	2115
2837923	5434
2854895	312723
3098103	13534
2758631	5194
3103197	421590
3008520	13809
2645496	5406
3107461	276910
2799717	8283
2910920	125898
2910920	406028
2640510	7927
2547730	5443
2547730	341001
3088045	16575
3088045	18554
3088045	20263
3088045	21012
3088045	35226
3088045	78815
3088045	307869
3096911	438988
2560958	289751
3034978	5309
3000962	284451
2903191	382798
3074354	8569
3074354	15963
3074354	21038
3074354	43061
3074354	276701
3034707	421096
2881544	318822
2596939	97669
2596939	350922
2797885	5443
2843935	11748
3022509	132350
2839535	9333
2839535	256156
2825301	9628
2825301	9648
3029101	388693
2913303	1355
2623894	5476
2888308	16604
2771281	274906
2803034	34017
2802581	358183
2844951	8210
2934214	389638
2904488	7988
2904488	14541
2960144	11327
2960144	46570
2996067	202710
